player_name,position,height,height_with_shoes,weight,wingspan,standing_reach,body_fat_percentage,hand_length,hand_width,draft_year
Trey Alexander,SG,191.14,,83.73,208.28,257.81,,21.59,22.22,2023
Amari Bailey,SG,191.14,,86.55,200.66,262.89,,20.32,23.5,2023
Emoni Bates,SF,203.84,,81.28,205.74,266.7,,20.32,20.96,2023
Reece Beekman,PG,186.69,,86.45,200.66,255.27,,21.59,20.96,2023
Anthony Black,PG,197.48,,95.25,201.93,260.35,,20.96,24.13,2023
Adem Bona,C,203.84,,110.4,,280.67,,23.5,25.4,2023
Kobe Brown,PF,199.39,,114.4,215.26,270.51,,22.22,24.76,2023
Kobe Bufkin,SG,193.68,,84.73,202.56,260.35,,20.32,23.5,2023
Toumani Camara,PF,200.66,,99.97,214.63,271.78,,22.86,25.4,2023
Sidy Cissoko,SF,196.85,,101.51,207.64,264.16,,23.5,25.4,2023
Jaylen Clark,SG,193.04,,92.62,205.74,257.81,,21.59,22.86,2023
Noah Clowney,PF,,,,,,,,,2023
Bilal Coulibaly,SG/SF,,,,,,,,,2023
Ricky Council IV,SF,195.58,,94.35,205.74,261.62,,19.68,21.59,2023
Gradey Dick,SG,198.76,,92.53,205.1,256.54,,20.96,22.86,2023
Nikola Djurisic,SF,200.66,,98.7,203.84,259.08,,20.96,24.13,2023
Zach Edey,C,221.62,,138.98,240.03,293.37,,24.76,27.94,2023
Adam Flagler,PG,185.42,,87.0,194.31,246.38,,20.32,23.5,2023
Keyonte George,SG,,,,,,,,,2023
Mouhamed Gueye,C,208.92,,96.43,221.62,280.67,,22.86,25.4,2023
Jordan Hawkins,SG,193.68,,84.37,200.02,257.81,,20.96,22.22,2023
Coleman Hawkins,PF,204.47,,101.79,214.0,275.59,,22.22,22.22,2023
Scoot Henderson,PG,,,,,,,,,2023
Taylor Hendricks,PF,203.84,,96.89,214.63,271.78,,23.5,26.04,2023
DaRon Holmes II,C,205.74,,100.15,214.63,276.86,,21.59,24.13,2023
Jalen Hood-Schifino,PG,193.68,,98.25,208.92,255.27,,22.86,24.76,2023
Jett Howard,SF,,,,,,,,,2023
GG Jackson,PF,203.84,,97.25,212.09,269.24,,21.59,25.4,2023
Andre Jackson Jr.,SF,196.85,,89.99,207.64,261.62,,20.96,24.13,2023
Trayce Jackson-Davis,C,203.84,,109.04,215.9,269.24,,23.5,27.3,2023
Jaime Jaquez Jr.,SF,198.12,,102.69,207.01,252.73,,21.59,24.13,2023
Keyontae Johnson,SF,193.04,,108.23,213.36,261.62,,22.86,22.86,2023
Colby Jones,SG,194.31,,90.36,203.2,261.62,,20.96,21.59,2023
Ryan Kalkbrenner,C,215.26,,114.21,226.06,285.75,,23.5,27.94,2023
Arthur Kaluma,PF,198.76,,100.61,214.63,262.89,,21.59,25.4,2023
Mojave King,SG,192.4,,90.99,203.2,256.54,,22.22,24.13,2023
Bobi Klintman,PF,,,,,,,,,2023
Maxwell Lewis,SG,198.76,,93.98,213.36,265.43,,22.22,24.13,2023
Dereck Lively Jr.,C,,,,,,,,,2023
Chris Livingston,SF,198.12,,99.43,211.46,265.43,,21.59,22.86,2023
Seth Lundy,SF,193.04,,97.25,208.92,264.16,,21.59,22.86,2023
Kevin McCullar,SF,,,,,,,,,2023
Mike Miles Jr.,PG,184.78,,92.99,184.15,243.84,,20.32,20.96,2023
Jordan Miller,SF,194.31,,86.91,212.72,262.89,,21.59,23.5,2023
Brandon Miller,SF,,,,,,,,,2023
Leonard Miller,PF,206.38,,96.52,218.44,270.51,,24.13,26.67,2023
Judah Mintz,PG,190.5,,80.01,191.77,248.92,,20.96,23.5,2023
Dillon Mitchell,PF,200.02,,87.54,208.28,266.7,,20.96,24.13,2023
Omari Moore,SG,196.22,,85.55,207.64,262.89,,22.86,26.04,2023
Kris Murray,PF,202.56,,96.52,212.72,269.24,,21.59,22.86,2023
Grant Nelson,PF,208.28,,101.33,213.36,270.51,,22.86,24.13,2023
James Nnaji,C,,,,,,,,,2023
Julian Phillips,SF,200.02,,89.18,212.09,259.08,,21.59,22.86,2023
Jalen Pickett,PG,187.96,,89.72,201.3,250.19,,21.59,19.05,2023
Brandin Podziemski,SG,192.4,,92.44,196.85,245.11,,20.96,25.4,2023
Olivier-Maxence Prosper,PF,200.02,,96.34,215.9,264.16,,20.96,25.4,2023
Rayan Rupert,SF,198.12,,87.63,218.44,269.24,,21.59,24.13,2023
Adama Sanogo,C,201.3,,116.94,220.34,275.59,,24.76,25.4,2023
Marcus Sasser,PG,186.06,,88.72,200.66,252.73,,22.22,24.13,2023
Brice Sensabaugh,SF,,,,,,,,,2023
Terrence Shannon Jr.,SF,196.85,,99.79,203.2,259.08,,20.96,20.32,2023
Ben Sheppard,SG,196.22,,88.27,202.56,254.0,,21.59,24.13,2023
Jalen Slawson,PF,199.39,,100.52,212.72,269.24,,22.86,22.86,2023
Terquavion Smith,SG,189.23,,74.03,200.02,248.92,,21.59,20.32,2023
Nick Smith Jr.,SG,,,,,,,,,2023
Julian Strawther,SF,198.12,,94.71,206.38,266.7,,20.96,20.96,2023
Amen Thompson,SG,197.48,,97.16,213.36,262.89,,21.59,21.59,2023
Ausar Thompson,SG,197.48,,98.97,213.36,264.16,,22.22,23.5,2023
Drew Timme,C,205.1,,110.31,217.8,275.59,,22.86,25.4,2023
Nae'Qwan Tomlin,PF,,,,,,,,,2023
Oscar Tshiebwe,C,201.3,,115.03,222.25,274.32,,24.76,26.04,2023
Azuolas Tubelis,PF,205.1,,106.5,210.82,274.32,,22.86,26.67,2023
Tristan Vukcevic,C,211.46,,101.33,219.71,281.94,,22.86,26.04,2023
Jarace Walker,PF,199.39,,112.76,219.71,265.43,,22.86,25.4,2023
Cason Wallace,PG,189.23,,88.54,204.47,256.54,,21.59,23.5,2023
Jordan Walsh,SF,197.48,,92.53,217.8,271.78,,22.22,21.59,2023
Victor Wembanyama,C,,,,,,,,,2023
Dariq Whitehead,SG,197.48,,98.52,208.92,262.89,,21.59,25.4,2023
