League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_date,height_cm,weight_stats,weight_kg,nationality,high_school,draft_round,draft_pick,draft_team,player_norm,position,height_anthro,height_with_shoes,weight_anthro,wingspan,standing_reach,body_fat_percentage,hand_length,hand_width,draft_year,FGM_per_min,FGA_per_min,3PM_per_min,3PA_per_min,FTM_per_min,FTA_per_min,TOV_per_min,PF_per_min,ORB_per_min,DRB_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,PTS_per_min,TEAM_ATL,TEAM_BOS,TEAM_BRK,TEAM_CHA,TEAM_CHI,TEAM_CLE,TEAM_DAL,TEAM_DEN,TEAM_DET,TEAM_GSW,TEAM_HOU,TEAM_IND,TEAM_LAC,TEAM_LAL,TEAM_MEM,TEAM_MIA,TEAM_MIL,TEAM_MIN,TEAM_NOP,TEAM_NYK,TEAM_OKC,TEAM_ORL,TEAM_OTHER,TEAM_PHI,TEAM_PHX,TEAM_POR,TEAM_SAC,TEAM_SAS,TEAM_TOR,TEAM_UTA,TEAM_WAS
NBA,1999 - 2000,Regular_Season,Glen Rice,LAL,80,2530.0,421,980,84,229,346,396,114,179,56,271,327,176,47,12,1272,28.05.1967,203.0,228.0,103.0,United States,Flint Northwestern High School,1.0,4.0,Miami Heat,glen rice,SF/SG,194.31,197.48,95.62,206.38,257.81,8.45,21.59,22.86,2013,0.166403,0.387352,0.033202,0.090514,0.136759,0.156522,0.045059,0.070751,0.022134,0.107115,0.129249,0.069565,0.018577,0.004743,0.502767,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,1999 - 2000,Regular_Season,Jaren Jackson,SAS,81,1691.0,186,488,108,306,33,51,66,157,34,147,181,118,54,7,513,27.10.1967,193.0,190.0,86.0,United States,Walter Cohen High School,,,,jaren jackson,PF/C,207.64,211.46,107.05,226.7,279.4,7.2,25.4,25.4,2018,0.109994,0.288587,0.063868,0.180958,0.019515,0.03016,0.03903,0.092844,0.020106,0.086931,0.107037,0.069781,0.031934,0.00414,0.303371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NBA,1999 - 2000,Playoffs,Glen Rice,LAL,23,766.0,93,228,28,67,71,89,36,50,10,82,92,48,15,4,285,28.05.1967,203.0,228.0,103.0,United States,Flint Northwestern High School,1.0,4.0,Miami Heat,glen rice,SF/SG,194.31,197.48,95.62,206.38,257.81,8.45,21.59,22.86,2013,0.12141,0.29765,0.036554,0.087467,0.092689,0.116188,0.046997,0.065274,0.013055,0.10705,0.120104,0.062663,0.019582,0.005222,0.372063,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euroleague,2000 - 2001,International,Marko Jaric,BOL,22,631.3,79,180,17,55,53,76,58,62,17,50,67,50,43,5,228,12.10.1978,201.0,224.0,102.0,Serbia / Greece,,2.0,1.0,Los Angeles Clippers,marko jaric,SG/SF,199.39,,95.25,205.74,264.16,,,,2000,0.125139,0.285126,0.026929,0.087122,0.083954,0.120387,0.091874,0.09821,0.026929,0.079202,0.10613,0.079202,0.068113,0.00792,0.36116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Euroleague,2000 - 2001,International,Igor Rakocevic,BUD,11,327.9,50,120,10,45,32,49,16,30,9,21,30,20,15,0,142,29.03.1978,191.0,183.0,83.0,Serbia,,2.0,22.0,Minnesota Timberwolves,igor rakocevic,PG,189.23,,83.46,196.22,254.0,,,,2000,0.152486,0.365965,0.030497,0.137237,0.097591,0.149436,0.048795,0.091491,0.027447,0.064044,0.091491,0.060994,0.045746,0.0,0.433059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Euroleague,2000 - 2001,International,Primoz Brezec,OLI,14,296.5,50,70,0,0,24,48,15,45,31,39,70,5,13,14,124,02.10.1979,218.0,252.0,114.0,Slovenia,,1.0,27.0,Indiana Pacers,primoz brezec,C,215.26,,110.22,218.44,279.4,,,,2000,0.168634,0.236088,0.0,0.0,0.080944,0.161889,0.05059,0.151771,0.104553,0.131535,0.236088,0.016863,0.043845,0.047218,0.418212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Euroleague,2000 - 2001,International,Beno Udrih,OLI,13,319.8,36,78,5,20,16,27,23,37,6,23,29,28,15,1,93,05.07.1982,193.0,205.0,93.0,Slovenia,,1.0,28.0,San Antonio Spurs,beno udrih,PG,189.23,192.4,90.26,194.31,248.92,9.3,,,2004,0.11257,0.243902,0.015635,0.062539,0.050031,0.084428,0.07192,0.115697,0.018762,0.07192,0.090682,0.087555,0.046904,0.003127,0.290807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NBA,2000 - 2001,Regular_Season,Glen Rice,NYK,75,2212.0,331,752,82,211,155,182,96,179,61,246,307,89,41,13,899,28.05.1967,203.0,228.0,103.0,United States,Flint Northwestern High School,1.0,4.0,Miami Heat,glen rice,SF/SG,194.31,197.48,95.62,206.38,257.81,8.45,21.59,22.86,2013,0.149638,0.339964,0.037071,0.095389,0.070072,0.082278,0.0434,0.080922,0.027577,0.111212,0.138788,0.040235,0.018535,0.005877,0.40642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NBA,2000 - 2001,Regular_Season,Eric Williams,BOS,81,1744.0,162,448,46,139,165,231,76,179,64,143,207,112,64,13,535,17.07.1972,203.0,220.0,100.0,United States,Malcolm X Shabazz High School,1.0,14.0,Boston Celtics,eric williams,C/PF,201.3,205.1,129.27,224.16,270.51,13.0,,,2006,0.09289,0.256881,0.026376,0.079702,0.09461,0.132454,0.043578,0.102638,0.036697,0.081995,0.118693,0.06422,0.036697,0.007454,0.306766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NBA,2000 - 2001,Regular_Season,Mark Madsen,LAL,70,641.0,55,113,1,1,26,37,27,111,74,78,152,24,8,8,137,28.01.1976,206.0,240.0,109.0,United States,San Ramon Valley High School,1.0,29.0,Los Angeles Lakers,mark madsen,PF,203.2,,107.27,214.63,265.43,,,,2000,0.085803,0.176287,0.00156,0.00156,0.040562,0.057722,0.042122,0.173167,0.115445,0.121685,0.237129,0.037441,0.01248,0.01248,0.213729,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
